Համայնք,Տեղադրման—Ամսաթիվ,Թարմացման—Ամսաթիվ,Գին,Հասցե,Տարածաշրջան,Շինության տիպ,Նորակառույց,Վերելակ,Հարկերի քանակ,Ընդհանուր մակերես,Սենյակների քանակ,Սանհանգույցների քանակ,Առաստաղի բարձրություն,Հարկ,Պատշգամբ,Կահույք,Վերանորոգում,հեռուստացույց,օդորակիչ,ինտերնետ,սառնարան,սալօջախ,միկրոալիքային վառարան,սրճեփ,սպասք լվացող մեքենա,լվացքի մեքենա,ջրատաքացուցիչ,արդուկ,ֆեն,Կարելի է երեխաների հետ,Թույլատրվում են ընտանի կենդանիներ,Կոմունալ վճարումներ,Կանխավճար,դոմոֆոն,կայանատեղի,տեսարան դեպի բակ,տեսարան դեպի փողոց,տեսարան դեպի քաղաք,տեսարան դեպի արարատ,խաղահրապարակ,տեսարան դեպի այգի,դռնապահ,չորացնող մեքենա,Հին–Հայտարարություն,Գին_մեկ_մետրի_համար,Մակերես_մեկ_սենյակի_համար
449256,2024-10-28,05.11.2024,400000,Վարդանանց փողոց 27,Երևան,3,1,1,14,50.0,2,1,3.0,11,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0,9,8000,25
305770,2024-10-15,25.10.2024,250000,Արմենա Գուլակուա փողոց,Երեւան,2,2,1,14,116.0,3,1,2.8,7,2,1,5,0,1,1,1,1,0,0,0,1,0,0,0,1,1,3,5,1,1,1,1,1,1,0,0,0,0,22,2155,38
242278,2024-11-04,,280000,Գյուրջյան փողոց 11/3,Երևան,3,1,1,8,75.0,2,1,2.8,5,2,1,3,1,1,1,1,1,0,0,0,1,0,0,0,1,3,3,4,1,1,1,1,0,0,1,0,0,0,2,3733,37
258213,2024-09-20,05.11.2024,250000,Առնո Բաբաջանյան փողոց,Երևան,2,2,1,9,50.0,2,1,2.75,8,4,1,2,1,1,1,1,1,0,1,0,1,1,1,1,2,3,3,4,1,1,1,1,0,0,1,0,0,0,47,5000,25
449256,2024-01-21,06.11.2024,507000,Այգեստանի 9րդ փողոց,Երևան,1,2,1,6,87.0,3,1,3.0,6,4,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,3,5,1,1,1,0,1,0,0,0,0,0,290,5827,29
230312,2024-10-09,04.11.2024,240000,Բագրատանյաց պողոտա 8,Երևան,1,2,2,5,70.0,3,1,2.8,2,1,1,5,1,0,1,1,0,0,0,0,1,1,1,1,1,1,3,2,0,1,1,1,1,0,1,1,0,0,28,3428,23
305770,2023-01-07,05.11.2024,260000,Սևքարեցի Սաքոյի փողոց,Երևան,1,1,1,7,45.0,2,1,3.2,6,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,3,3,4,1,1,0,0,0,0,0,1,0,0,669,5777,22
449256,2024-09-04,06.11.2024,390000,Արամի փողոց,Երևան,3,1,1,18,58.0,2,1,3.0,10,2,1,2,1,1,1,1,1,1,0,1,1,0,1,1,2,2,3,4,1,1,1,1,1,0,1,0,1,0,63,6724,29
305770,2024-10-06,06.11.2024,260000,Comit Avenu,Երևան,2,2,1,14,72.0,3,1,2.75,10,3,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,3,3,5,0,1,1,0,0,0,0,0,0,0,31,3611,24
326437,2024-09-09,06.11.2024,273000,Կարապետ Ուլնեց փողոց,Երևան,3,1,1,13,48.0,1,1,3.0,8,2,1,2,1,0,1,1,1,0,0,0,1,1,0,0,2,3,3,5,1,1,0,1,1,0,1,0,1,0,58,5687,48
449256,2023-05-14,06.11.2024,450000,Թումանյանա փողոց,Երեւան,1,2,1,5,100.0,3,2,3.2,1,3,1,3,1,1,1,1,1,0,0,0,1,0,0,0,1,3,3,4,1,0,0,0,0,0,0,0,0,0,542,4500,33
449256,2024-04-20,06.11.2024,650000,Ամիրյան փողոց 26/4,Երևան,3,1,1,18,45.0,2,1,3.0,7,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,3,3,3,5,1,0,1,0,0,0,0,0,1,0,200,14444,22
305770,2024-10-14,06.11.2024,380000,Հայրիկ Մուրադյան փողոց 42/2,Երևան,3,1,1,18,85.0,3,1,3.0,17,2,1,2,1,1,1,1,1,1,0,0,1,1,0,0,1,3,3,4,1,1,1,1,1,0,0,1,0,0,23,4470,28
449256,2024-09-08,06.11.2024,546000,Մովսես Խորենացի ընդմիջում է 25 ա,Երեւան,2,2,1,9,94.0,4,1,2.8,8,4,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,3,3,2,1,1,1,1,1,0,1,0,0,0,59,5808,23
449256,2024-10-22,06.11.2024,140000,Զավարյան փողոց,Երևան,2,2,1,9,40.0,1,1,2.8,9,2,1,5,1,1,0,1,1,0,0,0,0,0,0,0,1,2,3,4,1,1,0,0,1,0,1,0,0,0,15,3500,40
